,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
Health,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632
HealthRegen,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2
Mana,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
ManaRegen,1,1.15,1.3,1.45,1.6,1.75,1.9,2.05,2.2,2.35,2.5,2.65,2.8,2.95,3.1,3.25,3.4,3.55,3.7,3.85
SecondaryResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SecondaryResourceRegen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PhysicalDamage,65,65.8,66.6,67.4,68.2,69,69.8,70.6,71.4,72.2,73,73.8,74.6,75.4,76.2,77,77.8,78.6,79.4,80.2
MagicalDamage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PhysicalResist,35,36.5,38,39.5,41,42.5,44,45.5,47,48.5,50,51.5,53,54.5,56,57.5,59,60.5,62,63.5
MagicalResist,30,31.25,32.5,33.75,35,36.25,37.5,38.75,40,41.25,42.5,43.75,45,46.25,47.5,48.75,50,51.25,52.5,53.75
MovementSpeed,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
AttackSpeed,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98
AttackRange,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
